iter	Passed	Remaining
0	4	4656
1	8	4259
2	12	4149
3	16	4120
4	21	4219
5	25	4178
6	29	4159
7	33	4156
8	37	4130
9	41	4112
10	45	4081
11	49	4086
12	53	4082
13	57	4069
14	61	4064
15	66	4089
16	70	4079
17	74	4063
18	78	4049
19	82	4049
20	86	4046
21	90	4034
22	94	4020
23	98	4014
24	102	4006
25	106	3985
26	110	3985
27	114	3974
28	118	3969
29	122	3958
30	126	3951
31	130	3946
32	134	3940
33	138	3934
34	142	3931
35	146	3924
36	150	3918
37	154	3911
38	158	3902
39	162	3895
40	166	3890
41	170	3885
42	174	3877
43	178	3870
44	182	3868
45	186	3865
46	190	3858
47	194	3853
48	198	3853
49	202	3850
50	206	3841
51	210	3835
52	214	3835
53	218	3832
54	222	3826
55	226	3821
56	230	3817
57	234	3814
58	238	3808
59	242	3802
60	246	3799
61	250	3795
62	254	3787
63	258	3780
64	262	3777
65	266	3775
66	270	3769
67	274	3763
68	278	3761
69	282	3756
70	286	3750
71	290	3744
72	294	3739
73	298	3733
74	302	3727
75	306	3721
76	310	3718
77	314	3714
78	318	3709
79	322	3704
80	326	3699
81	330	3696
82	333	3690
83	337	3685
84	342	3682
85	346	3681
86	350	3677
87	354	3673
88	358	3669
89	362	3665
90	366	3661
91	370	3659
92	374	3656
93	379	3653
94	382	3647
95	386	3643
96	390	3637
97	394	3634
98	398	3629
99	402	3624
100	406	3618
101	410	3615
102	414	3610
103	418	3605
104	422	3600
105	426	3597
106	430	3592
107	434	3588
108	438	3582
109	442	3577
110	446	3575
111	450	3570
112	454	3564
113	457	3559
114	462	3556
115	466	3553
116	470	3547
117	474	3544
118	478	3540
119	482	3535
120	485	3530
121	489	3525
122	493	3521
123	497	3517
124	501	3513
125	505	3509
126	510	3507
127	514	3502
128	517	3497
129	521	3492
130	526	3489
131	529	3484
132	533	3479
133	537	3475
134	541	3472
135	545	3468
136	549	3463
137	553	3459
138	557	3454
139	561	3450
140	565	3445
141	569	3441
142	573	3437
143	577	3432
144	581	3428
145	585	3425
146	589	3421
147	593	3418
148	597	3413
149	601	3408
150	605	3404
151	609	3399
152	613	3394
153	617	3391
154	621	3386
155	625	3382
156	629	3377
157	632	3373
158	636	3369
159	640	3364
160	644	3361
161	648	3357
162	652	3352
163	656	3348
164	661	3345
165	664	3340
166	669	3337
167	673	3333
168	677	3330
169	681	3326
170	685	3321
171	689	3317
172	693	3313
173	697	3308
174	700	3304
175	704	3300
176	708	3296
177	712	3291
178	716	3287
179	720	3283
180	724	3279
181	728	3275
182	732	3271
183	737	3268
184	741	3265
185	745	3261
186	749	3256
187	753	3252
188	757	3248
189	761	3244
190	764	3239
191	769	3236
192	773	3232
193	777	3229
194	781	3225
195	785	3221
196	789	3217
197	793	3213
198	797	3209
199	801	3206
200	805	3202
201	809	3197
202	813	3192
203	817	3188
204	820	3183
205	824	3178
206	828	3174
207	832	3169
208	836	3165
209	840	3161
210	844	3157
211	848	3152
212	852	3148
213	856	3145
214	860	3140
215	864	3136
216	868	3132
217	871	3127
218	875	3123
219	879	3119
220	883	3115
221	887	3111
222	891	3107
223	895	3102
224	899	3098
225	903	3095
226	907	3091
227	911	3086
228	915	3081
229	919	3077
230	923	3073
231	927	3069
232	931	3064
233	935	3061
234	939	3057
235	942	3052
236	946	3048
237	950	3043
238	955	3040
239	958	3036
240	962	3031
241	966	3027
242	970	3024
243	974	3019
244	978	3015
245	982	3011
246	986	3007
247	990	3003
248	994	2998
249	998	2994
250	1002	2991
251	1006	2987
252	1010	2983
253	1014	2978
254	1018	2975
255	1022	2970
256	1026	2966
257	1029	2962
258	1033	2957
259	1037	2953
260	1041	2949
261	1045	2945
262	1049	2941
263	1053	2937
264	1057	2932
265	1061	2928
266	1065	2924
267	1069	2920
268	1073	2916
269	1077	2913
270	1081	2908
271	1085	2904
272	1089	2900
273	1093	2897
274	1097	2893
275	1101	2889
276	1105	2885
277	1109	2880
278	1113	2876
279	1117	2872
280	1121	2868
281	1125	2864
282	1128	2860
283	1132	2856
284	1136	2852
285	1140	2848
286	1144	2844
287	1149	2840
288	1153	2837
289	1157	2833
290	1161	2829
291	1165	2826
292	1169	2821
293	1173	2817
294	1177	2813
295	1181	2809
296	1185	2805
297	1189	2801
298	1193	2797
299	1197	2794
300	1201	2790
301	1205	2786
302	1209	2782
303	1213	2778
