"epoch,training mse,validation mse"
1,0.5465415716171265,0.5401946902275085
2,0.5288097858428955,0.5298137664794922
3,0.513533353805542,0.5149770379066467
4,0.49562138319015503,0.5087399482727051
5,0.4807373881340027,0.5014123916625977
6,0.4655802547931671,0.4947776794433594
7,0.4501628279685974,0.4945388734340668
8,0.43500450253486633,0.4931422472000122
9,0.4194123446941376,0.4959597885608673
10,0.4051628112792969,0.4929921329021454
11,0.3908587694168091,0.4950002133846283
12,0.3760140836238861,0.4891485571861267
13,0.36270928382873535,0.5002667903900146
